,H,A,TSL,TCL,TSP1,TCP1,TSP2,TCP2,ASL,ACL,ASP1,ACP1,ASP2,ACP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,BRIGHTON & HOVE ALBION,LEICESTER CITY,2.25,2.5,1.95,2.4,1.95,1.63,0 / 0,0 / 0,2.2,2,1.73,1.95,[-0.17202639  2.3572575 ],[-0.0179804   2.32539285],-0.17202638875401338,2.357257504715937,-0.017980395991279666,2.325392850583937
1,EVERTON FC,CARDIFF CITY,2.75,2.5,1.92,1.84,1.98,2.08,-1.25 / 1.25,-1.25 / 1.25,1.88,2.12,2.02,1.84,[ 1.42841441  3.0109714 ],[ 1.22595561  2.82086645],1.4284144075954253,3.010971399489378,1.2259556137546312,2.8208664458845374
2,FULHAM FC,SOUTHAMPTON FC,2.5,2.5,1.82,1.98,2.08,1.94,0 / 0,0 / 0,2.02,1.96,1.88,1.99,[-0.05823956  2.83576053],[ 0.01186051  2.67730092],-0.05823956341974823,2.835760525708659,0.01186050772167506,2.6773009174628535
3,MANCHESTER UNITED,CRYSTAL PALACE,2.75,2.5,2,1.76,1.9,2.19,-1.25 / 1.25,-1.25 / 1.25,1.86,2.09,2.04,1.86,[ 1.44978827  2.93471894],[ 1.24504271  2.92250455],1.4497882665582342,2.934718941881381,1.2450427145615313,2.9225045477340856
4,WATFORD FC,LIVERPOOL FC,3,2.5,2.02,1.69,1.88,2.29,1.25 / -1.25,1.25 / -1.25,1.87,1.77,2.03,2.21,[-1.27125313  3.10736719],[-1.13533809  3.01523299],-1.2712531318529408,3.1073671910621092,-1.135338087942207,3.015232992820084
5,WEST HAM UNITED,MANCHESTER CITY,3,3,1.75,1.63,2.17,2.4,1.5 / -1.5,1.5 / -1.5,2.14,2.4,1.77,1.66,[-1.82629285  3.36730094],[-2.03466219  3.53021457],-1.8262928472920696,3.3673009429161938,-2.034662190212323,3.530214568892564
6,TOTTENHAM HOTSPUR,CHELSEA FC,2.75,2.5,2.04,1.73,1.86,2.23,0 / 0,0 / 0,2.05,2.25,1.85,1.75,[-0.08444181  2.89937314],[-0.20945317  2.96366097],-0.08444180992901189,2.899373140787097,-0.20945317428766558,2.9636609669293534
7,AFC BOURNEMOUTH,ARSENAL FC,3,2.75,1.88,1.7,2.02,2.28,0.5 / -0.5,0.5 / -0.5,2.05,1.77,1.85,2.21,[-0.68409559  3.23685513],[-0.31790567  3.26664096],-0.6840955912976948,3.236855126233746,-0.31790566828952876,3.26664095826082
8,WOLVERHAMPTON WANDERERS,HUDDERSFIELD TOWN,2.25,2.5,2.02,2.33,1.88,1.67,-1 / 1,-1 / 1,2,2.14,1.9,1.82,[ 1.06928852  2.29865018],[ 0.98239148  2.37181497],1.06928851927976,2.298650179918676,0.9823914800703403,2.371814973866816
9,BURNLEY FC,NEWCASTLE UNITED,2.25,2.5,2.11,2.35,1.8,1.66,0 / 0,0 / 0,1.95,2.14,1.95,1.82,[  1.35892845e-16   2.23293649e+00],[-0.11616199  2.36130635],1.3589284518308752e-16,2.232936494223149,-0.1161619850289029,2.361306347761678
