,H,A,ASL,ACL,ASP1,ACP1,ASP2,ACP2,TSL,TCL,TSP1,TCP1,TSP2,TCP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,NAGOYA GRAMPUS,HOKKAIDO CONSADOLE SAPPORO,-0.25 / 0.25,-0.25 / 0.25,1.95,2.11,1.97,1.82,3,3,1.85,1.78,2.05,2.13,[ 0.30092861  3.2652078 ],[ 0.13692446  3.33619514],0.30092861071112287,3.2652077975834795,0.13692445676301132,3.336195137565048
1,JUBILO IWATA,SHONAN BELLMARE,-0.25 / 0.25,-0.25 / 0.25,1.89,2.07,2.03,1.85,2.5,2.5,1.92,2.08,1.98,1.82,[ 0.36294388  2.728999  ],[ 0.19827881  2.56467223],0.36294388405049527,2.7289989956463714,0.19827881229371802,2.5646722262076733
2,KASHIMA ANTLERS,CEREZO OSAKA,-0.5 / 0.5,-0.25 / 0.25,2.16,2.53,1.78,1.57,2.5,2.5,2.03,2.14,1.87,1.77,[ 0.38504308  2.6151347 ],[-0.11912755  2.51001938],0.38504307777038904,2.615134697113889,-0.11912754989491439,2.510019384596222
3,SHONAN BELLMARE,SHIMIZU S-PULSE,0.25 / -0.25,0.25 / -0.25,1.8,2.05,2.13,1.87,2.5,2.5,2.03,1.98,1.87,1.92,[-0.14578307  2.61546287],[-0.38177926  2.66648821],-0.1457830707878109,2.615462874457184,-0.38177926359138264,2.6664882105236867
4,KAWASAKI FRONTALE,KASHIWA REYSOL,-1 / 1,-1 / 1,2.04,2.11,1.88,1.82,2.75,2.75,1.87,1.78,2.03,2.13,[ 1.01560312  3.0604523 ],[ 0.95320645  3.15397087],1.0156031211515228,3.060452296840099,0.9532064517499966,3.153970865920875
5,YOKOHAMA F MARINOS,FC TOKYO,0 / 0,0 / 0,2.05,2.16,1.87,1.78,2.75,2.5,1.92,1.79,1.98,2.12,[-0.07751391  3.01309769],[-0.15813319  2.87327977],-0.07751390989210101,3.0130976864396732,-0.15813318776720986,2.8732797738765696
6,JUBILO IWATA,SANFRECCE HIROSHIMA,0.25 / -0.25,0.25 / -0.25,1.94,2.09,1.98,1.83,2.5,2.5,2.02,2.08,1.88,1.82,[-0.27951893  2.62553506],[-0.41839027  2.56430951],-0.2795189330880376,2.625535057447679,-0.418390273285261,2.5643095075780935
7,NAGOYA GRAMPUS,VISSEL KOBE,0 / 0,0 / 0,1.93,1.85,1.99,2.07,3,3,2.13,1.93,1.78,1.97,[ 0.02583227  3.0142085 ],[ 0.09832281  3.1906254 ],0.025832269540145322,3.0142084963171,0.09832280996567287,3.190625396624921
8,URAWA RED DIAMONDS,GAMBA OSAKA,-0.5 / 0.5,-0.5 / 0.5,1.99,1.74,1.93,2.21,2.75,2.5,2.02,1.73,1.88,2.2,[ 0.54147632  2.91783499],[ 0.82905458  2.94771969],0.5414763167270064,2.917834993675299,0.8290545759936082,2.9477196921398177
9,HOKKAIDO CONSADOLE SAPPORO,VEGALTA SENDAI,-0.25 / 0.25,-0.25 / 0.25,2.05,1.86,1.87,2.06,2.75,2.75,1.92,1.75,1.98,2.17,[ 0.20300155  3.01306367],[ 0.39446542  3.18935124],0.20300154988585206,3.013063668512887,0.3944654219242239,3.189351241608547
10,SAGAN TOSU,V-VAREN NAGASAKI,-0.5 / 0.5,-0.5 / 0.5,2,1.97,1.92,1.95,2.5,2.5,2.07,2.14,1.83,1.77,[ 0.54079896  2.57410325],[ 0.57338676  2.50914639],0.5407989618666411,2.5741032487392475,0.5733867566429148,2.509146385072271
11,KASHIWA REYSOL,KASHIMA ANTLERS,0.25 / -0.25,-0.25 / 0.25,1.8,1.94,2.13,1.98,2.75,2.5,1.95,1.91,1.95,1.99,[-0.12949664  2.9843569 ],[ 0.31539875  2.73958632],-0.12949664030192012,2.9843569009791,0.31539874745659685,2.7395863229007746
12,CEREZO OSAKA,NAGOYA GRAMPUS,-0.25 / 0.25,-0.5 / 0.5,2.11,1.93,1.82,1.99,3,2.75,2.05,1.73,1.85,2.2,[ 0.14581364  3.0810896 ],[ 0.60348777  3.21384922],0.14581363620234825,3.0810895969310685,0.6034877676427456,3.2138492197839565
13,HOKKAIDO CONSADOLE SAPPORO,URAWA RED DIAMONDS,0 / 0,0 / 0,2.07,2.21,1.85,1.74,2.5,2.75,1.89,1.88,2.01,2.02,[-0.08950723  2.76090924],[-0.2031245   3.05171609],-0.08950723424646394,2.76090923804995,-0.20312449510945274,3.051716090375436
14,FC TOKYO,JUBILO IWATA,-0.75 / 0.75,-0.75 / 0.75,2.13,1.78,1.8,2.16,2.25,2.5,1.85,2.12,2.05,1.79,[ 0.68541085  2.43960394],[ 1.00703759  2.52721131],0.6854108536794431,2.439603940948699,1.0070375873986968,2.5272113079134733
15,SHIMIZU S-PULSE,NAGOYA GRAMPUS,-0.5 / 0.5,-0.25 / 0.25,2.16,2.07,1.78,1.85,2.75,2.75,1.79,1.73,2.12,2.2,[ 0.3559374   3.14476702],[ 0.17700536  3.21416977],0.35593739970599625,3.1447670160859253,0.17700535553304883,3.2141697682433374
16,CEREZO OSAKA,KAWASAKI FRONTALE,0.25 / -0.25,0.5 / -0.5,2.01,1.92,1.91,2,2.5,2.5,1.97,1.9,1.93,2,[-0.3442171   2.67690142],[-0.53526166  2.74968041],-0.3442171014714326,2.6769014204062644,-0.535261657346258,2.749680409799841
17,VISSEL KOBE,SAGAN TOSU,-0.5 / 0.5,-0.5 / 0.5,2.04,2.31,1.88,1.68,2.75,2.5,2.07,1.99,1.83,1.91,[ 0.48854943  2.87117437],[ 0.25558779  2.65637124],0.48854943364478975,2.871174366886142,0.25558778686648387,2.65637123660491
18,SANFRECCE HIROSHIMA,VEGALTA SENDAI,-0.5 / 0.5,-0.75 / 0.75,1.82,1.85,2.11,2.07,2.5,2.5,1.85,1.72,2.05,2.21,[ 0.7307929   2.80227083],[ 0.93441577  2.95845074],0.7307929020329885,2.802270827505805,0.9344157702836645,2.9584507376551947
19,V-VAREN NAGASAKI,YOKOHAMA F MARINOS,0.25 / -0.25,0.5 / -0.5,2.01,2.11,1.91,1.82,2.75,2.75,1.87,1.91,2.03,1.99,[-0.34294415  3.06137017],[-0.73251164  3.0222002 ],-0.342944150359762,3.061370171080926,-0.7325116417304999,3.0222001983017623
20,GAMBA OSAKA,SHONAN BELLMARE,-0.5 / 0.5,-0.5 / 0.5,2.2,2.25,1.75,1.72,2.75,2.5,2.05,1.92,1.85,1.98,[ 0.33165198  2.88993053],[ 0.30081264  2.7290982 ],0.33165197873360536,2.889930532842996,0.30081263680407244,2.729098197963144
