,H,A,ASL,ACL,ASP1,ACP1,ASP2,ACP2,TSL,TCL,TSP1,TCP1,TSP2,TCP2,start,close,sta-suo,sta-ttg,clo-suo,clo-ttg
0,SL BENFICA,MOREIRENSE FC,-2 / 2,-2.5 / 2.5,2.02,2.28,1.9,1.7,3.25,3,2,1.73,1.9,2.2,[ 2.06251523  3.31303674],[ 2.29959649  3.38940311],2.062515225346292,3.313036743212641,2.2995964947812464,3.3894031051597
1,PORTIMONENSE SC,CF BELENENSES,-0.25 / 0.25,-0.5 / 0.5,1.88,1.8,2.04,2.13,2.5,2.5,2.06,2,1.84,1.9,[ 0.37240259  2.58464   ],[ 0.75070421  2.64481052],0.37240259056099706,2.584639997570912,0.7507042145471347,2.6448105186375503
2,CS MARITIMO MADEIRA,FC PORTO,1.5 / -1.5,1.25 / -1.25,1.8,1.86,2.13,2.06,2.5,2.5,1.88,1.98,2.02,1.92,[-1.44937199  2.76651207],[-1.27211387  2.6627483 ],-1.4493719937422371,2.7665120659362397,-1.2721138715397164,2.6627482956326194
3,BOAVISTA FC,VITORIA GUIMARAES,0 / 0,0 / 0,1.86,2.25,2.06,1.72,2.25,2.25,1.96,2.05,1.94,1.85,[ 0.07301715  2.34911825],[-0.18764723  2.27633872],0.07301715463496583,2.349118249965196,-0.18764722681416227,2.2763387222639246
4,CD FEIRENSE,CD TONDELA,-0.25 / 0.25,0 / 0,1.97,1.67,1.95,2.33,2,2,1.9,2.04,2,1.86,[ 0.29759205  2.20560471],[ 0.22016719  2.10553785],0.29759204779963816,2.205604712312723,0.22016719352582248,2.10553785361866
5,CD SANTA CLARA,SPORTING CP,1.25 / -1.25,0.75 / -0.75,1.78,1.92,2.16,2,2.5,2.5,1.9,1.97,2,1.93,[-1.18073918  2.74701282],[-0.79180725  2.67563109],-1.1807391795864108,2.7470128157642164,-0.7918072524514193,2.6756310884964996
6,SPORTING BRAGA,VITORIA SETUBAL,-1.5 / 1.5,-1.25 / 1.25,2.2,2.06,1.75,1.86,2.75,2.5,1.92,1.8,1.98,2.11,[ 1.36657682  3.01116482],[ 1.26225978  2.85887372],1.366576816964448,3.0111648160670654,1.2622597833046707,2.858873719404287
7,RIO AVE FC,CD NACIONAL MADEIRA,-0.75 / 0.75,-1 / 1,1.86,1.81,2.06,2.12,2.5,2.5,1.85,1.66,2.05,2.31,[ 0.92443904  2.80152566],[ 1.22527847  3.04390872],0.9244390438162846,2.801525659336424,1.2252784677733166,3.0439087157470732
8,GD CHAVES,CD AVES,-0.5 / 0.5,-0.5 / 0.5,2.01,2.16,1.91,1.78,2,2.5,1.75,2.25,2.17,1.7,[ 0.54036866  2.32391894],[ 0.39742212  2.42346979],0.5403686644325122,2.3239189359050494,0.3974221176026194,2.423469792588456
9,MOREIRENSE FC,PORTIMONENSE SC,-0.25 / 0.25,-0.25 / 0.25,2.11,2.09,1.82,1.83,2.25,2.5,1.86,2,2.04,1.9,[ 0.17263061  2.43179861],[ 0.17661105  2.64616497],0.17263061393776624,2.43179860625377,0.17661105088055012,2.6461649720131284
10,VITORIA SETUBAL,CD FEIRENSE,-0.25 / 0.25,-0.5 / 0.5,1.9,1.78,2.02,2.16,2.25,2.25,2.05,2.2,1.85,1.73,[ 0.35601466  2.27618849],[ 0.77267331  2.1699948 ],0.3560146562643863,2.276188491284037,0.7726733102980525,2.1699947953539374
11,CF BELENENSES,BOAVISTA FC,-0.25 / 0.25,-0.25 / 0.25,2.08,1.96,1.84,1.96,2.25,2.25,2.02,2.06,1.88,1.84,[ 0.2003487   2.30041457],[ 0.30463129  2.26824868],0.20034869876326203,2.300414572900948,0.30463128541255435,2.2682486797702675
12,CD AVES,RIO AVE FC,0.25 / -0.25,0.25 / -0.25,1.82,1.79,2.11,2.14,2.5,2.5,1.97,2.02,1.93,1.88,[-0.16163849  2.67713078],[-0.13602116  2.62568801],-0.1616384899905589,2.6771307834416764,-0.13602115850038313,2.625688010885695
13,CD NACIONAL MADEIRA,CS MARITIMO MADEIRA,0 / 0,0 / 0,1.84,1.95,2.08,1.97,2.5,2.5,1.95,2.14,1.95,1.77,[ 0.09618249  2.6979386 ],[ 0.00763196  2.51005847],0.09618248647433303,2.697938603977753,0.007631961969806206,2.5100584739149454
14,FC PORTO,SPORTING BRAGA,-1 / 1,-1 / 1,1.9,1.78,2.02,2.16,2.5,2.5,1.97,1.74,1.93,2.19,[ 1.14554982  2.67389888],[ 1.25452647  2.93471496],1.145549824763837,2.673898882272637,1.2545264686353084,2.9347149613582397
15,VITORIA GUIMARAES,CD SANTA CLARA,-0.5 / 0.5,-0.75 / 0.75,1.88,1.94,2.04,1.98,2.25,2.5,1.88,2.17,2.02,1.75,[ 0.66556454  2.41450407],[ 0.85256524  2.483704  ],0.6655645449341322,2.414504068717901,0.8525652350029325,2.48370400192748
16,CD TONDELA,SL BENFICA,1.25 / -1.25,1.25 / -1.25,1.98,2.08,1.94,1.84,2.5,2.5,1.9,1.78,2,2.13,[-1.3843698   2.74573549],[-1.47986052  2.87936227],-1.384369800170231,2.7457354922974244,-1.479860516960112,2.8793622736218327
17,SPORTING CP,GD CHAVES,-1.5 / 1.5,-1.5 / 1.5,2.28,1.9,1.7,2.02,2.75,2.75,2.08,1.87,1.82,2.03,[ 1.30800198  2.86032205],[ 1.68479032  3.05845406],1.3080019816353312,2.8603220518310066,1.6847903179109651,3.0584540572578223
