,H,A,TSL,TCL,TSP1,TCP1,TSP2,TCP2,ASL,ACL,ASP1,ACP1,ASP2,ACP2,start,close
0,SL BENFICA,VITORIA GUIMARAES,3.25,2.75,2.03,1.85,1.87,2.05,-2 / 2,-1.75 / 1.75,1.92,2.13,2,1.8,[ 2.15837688  3.28254593],[ 1.69246248  3.0779717 ]
1,VITORIA SETUBAL,CD AVES,2.25,2.25,2.05,2.13,1.85,1.78,-0.25 / 0.25,-0.25 / 0.25,2.01,2.06,1.91,1.86,[ 0.26154095  2.27628426],[ 0.22116331  2.21708278]
2,CD TONDELA,CF BELENENSES,2.25,2.25,2.14,1.98,1.77,1.92,-0.25 / 0.25,-0.25 / 0.25,2.05,1.91,1.87,2.01,[ 0.2299521   2.20921183],[ 0.34681086  2.33265103]
3,FC PORTO,GD CHAVES,3.25,2.75,2.03,1.73,1.87,2.2,-2.25 / 2.25,-2 / 2,2.16,2.01,1.78,1.91,[ 2.18316091  3.28249312],[ 2.07590031  3.20953201]
4,CD FEIRENSE,RIO AVE FC,2.25,2.25,1.97,2.05,1.93,1.85,0 / 0,0 / 0,2,1.8,1.92,2.13,[-0.02912296  2.34096964],[ 0.1177332   2.27637374]
5,CS MARITIMO MADEIRA,CD SANTA CLARA,2.25,2.25,2.03,2.17,1.87,1.75,-0.5 / 0.5,-0.5 / 0.5,1.99,1.91,1.93,2.01,[ 0.5611355   2.29192718],[ 0.64115015  2.18937241]
6,MOREIRENSE FC,SPORTING CP,2.5,2.5,2,1.97,1.9,1.93,1.25 / -1.25,1 / -1,2.04,1.83,1.88,2.09,[-1.44454684  2.64085755],[-0.9883247   2.67474972]
7,SPORTING BRAGA,CD NACIONAL MADEIRA,2.75,2.75,1.98,1.76,1.92,2.16,-1.25 / 1.25,-1.5 / 1.5,1.94,1.72,1.98,2.25,[ 1.37870637  2.95385935],[ 1.91326688  3.175516  ]
8,PORTIMONENSE SC,BOAVISTA FC,2.25,2.5,2.17,2.33,1.75,1.65,-0.25 / 0.25,-0.25 / 0.25,2.09,1.94,1.83,1.98,[ 0.19712965  2.19005417],[ 0.32019392  2.3633403 ]
9,CD AVES,CD TONDELA,2.25,2.5,2.12,2.31,1.79,1.66,-0.25 / 0.25,-0.25 / 0.25,2.07,1.94,1.85,1.98,[ 0.21234153  2.22496697],[ 0.31998274  2.37688295]
10,GD CHAVES,PORTIMONENSE SC,2.25,2.5,2,2.19,1.9,1.74,-0.5 / 0.5,-0.25 / 0.25,2.07,1.95,1.85,1.97,[ 0.48221849  2.316257  ],[ 0.3096181   2.47125036]
11,BOAVISTA FC,SL BENFICA,2.5,2.5,1.92,2.07,1.98,1.83,1.25 / -1.25,1 / -1,1.92,1.88,2,2.04,[-1.32700904  2.72501578],[-1.03417546  2.57201673]
12,SPORTING CP,VITORIA SETUBAL,2.75,2.75,1.92,1.95,1.98,1.95,-1.75 / 1.75,-1.5 / 1.5,2.07,2.01,1.85,1.91,[ 1.75312964  3.0097653 ],[ 1.56390988  2.98176578]
13,RIO AVE FC,CS MARITIMO MADEIRA,2.25,2.25,2.08,2.06,1.82,1.84,-0.5 / 0.5,-0.25 / 0.25,1.92,2.06,2,1.86,[ 0.62991826  2.25179046],[ 0.21896368  2.26832303]
14,CD NACIONAL MADEIRA,MOREIRENSE FC,2.25,2.5,2.08,2.06,1.82,1.84,-0.25 / 0.25,0 / 0,2.04,1.65,1.88,2.36,[ 0.23670949  2.25236748],[ 0.27214579  2.5848104 ]
15,CF BELENENSES,FC PORTO,2.5,2.5,1.85,1.67,2.05,2.29,1.5 / -1.5,1.5 / -1.5,1.9,2.05,2.02,1.87,[-1.56143504  2.79777864],[-1.71917216  3.02475896]
16,CD SANTA CLARA,SPORTING BRAGA,2.5,2.5,1.92,2.04,1.98,1.86,0.75 / -0.75,0.75 / -0.75,2.08,1.88,1.84,2.04,[-0.94367479  2.72715928],[-0.75629917  2.60382991]
17,VITORIA GUIMARAES,CD FEIRENSE,2.25,2.5,1.96,2.25,1.94,1.7,-0.75 / 0.75,-0.75 / 0.75,2,1.88,1.92,2.04,[ 0.80232431  2.34815864],[ 0.90794332  2.42149513]
